ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ITL3,TLE31,"Barnsley, Doncaster and Rotherham","756,008","753,590","751,764","753,373","757,108","761,162","763,799","767,467","772,047","776,384","781,413","785,470","788,258","792,049","794,595","797,257","801,485","804,616","809,471","812,512","815,751","817,987","817,979","819,757","825,863"
ITL3,TLE32,Sheffield,"517,596","516,334","514,573","513,102","514,201","515,339","519,640","525,721","527,629","529,905","534,035","538,385","544,613","551,756","553,842","555,253","554,805","555,074","556,599","555,675","556,771","556,399","555,036","555,035","566,242"
ITL2,TLE4,West Yorkshire,"2,073,051","2,072,278","2,073,655","2,083,101","2,093,189","2,102,681","2,118,239","2,142,174","2,154,207","2,168,816","2,185,043","2,197,607","2,212,556","2,227,371","2,241,490","2,255,832","2,269,503","2,284,951","2,302,614","2,315,182","2,325,461","2,339,795","2,346,416","2,350,407","2,378,148"
ITL3,TLE41,Bradford,"468,001","466,933","467,124","470,753","475,184","479,166","484,650","491,361","495,658","501,357","507,323","512,392","518,002","523,115","525,522","528,712","531,795","534,919","538,178","540,447","542,542","545,966","547,141","546,839","552,644"
ITL3,TLE42,Leeds,"715,925","714,879","713,366","715,609","716,380","717,592","723,042","735,054","736,204","738,560","741,665","743,885","747,571","750,683","758,029","764,369","770,434","777,987","786,739","793,134","797,696","804,640","808,443","809,479","822,483"
ITL3,TLE44,Calderdale and Kirklees,"575,812","576,528","578,820","581,359","585,319","588,454","592,510","596,994","602,027","607,249","612,767","616,863","621,388","627,140","630,038","632,863","635,650","638,137","640,332","640,852","640,786","640,988","639,854","640,286","645,292"
ITL3,TLE45,Wakefield,"313,313","313,938","314,345","315,380","316,306","317,469","318,037","318,765","320,318","321,650","323,288","324,467","325,595","326,433","327,901","329,888","331,624","333,908","337,365","340,749","344,437","348,201","350,978","353,803","357,729"
ITL1,TLF,East Midlands,"4,132,645","4,152,443","4,168,076","4,189,622","4,221,753","4,255,080","4,291,476","4,329,112","4,366,676","4,404,774","4,441,125","4,471,653","4,507,071","4,537,448","4,570,702","4,604,568","4,642,629","4,681,640","4,731,615","4,778,346","4,815,151","4,844,001","4,855,469","4,881,559","4,934,939"
ITL2,TLF1,Derbyshire and Nottinghamshire,"1,974,703","1,977,966","1,978,848","1,983,362","1,994,738","2,007,042","2,020,561","2,034,828","2,045,045","2,056,005","2,069,957","2,083,210","2,098,381","2,110,326","2,121,441","2,131,614","2,141,352","2,150,694","2,164,887","2,176,697","2,186,393","2,194,954","2,197,772","2,204,080","2,230,289"
ITL3,TLF11,Derby,"230,893","231,252","230,794","230,726","231,979","232,827","234,501","236,470","238,110","239,917","241,865","243,980","247,035","248,943","251,804","253,812","255,320","257,406","259,883","261,104","262,395","263,014","261,999","261,260","263,490"
ITL3,TLF12,East Derbyshire,"266,359","266,655","266,903","267,646","268,699","270,399","271,678","272,787","273,761","274,916","275,928","276,735","277,940","278,917","279,660","280,004","280,442","281,213","281,972","282,577","282,722","283,703","284,386","286,440","289,446"
ITL3,TLF13,South and West Derbyshire,"458,840","461,457","464,994","467,242","469,710","471,843","473,792","476,222","478,888","481,678","485,310","487,582","490,008","491,771","492,930","493,998","495,884","496,160","497,985","500,305","502,204","505,177","506,447","510,270","514,018"
ITL3,TLF14,Nottingham,"277,365","273,537","270,739","268,939","271,769","275,547","279,624","284,834","286,459","288,164","290,783","294,808","299,753","303,899","307,436","308,681","310,339","313,265","317,625","320,378","322,323","323,160","322,822","319,978","328,513"
ITL3,TLF15,North Nottinghamshire,"417,360","420,812","421,439","423,736","426,260","429,933","433,604","436,474","439,461","442,225","445,655","448,063","450,206","452,058","454,006","457,370","460,377","463,266","467,208","471,083","473,259","474,867","475,550","478,627","483,397"
ITL3,TLF16,South Nottinghamshire,"323,886","324,253","323,979","325,073","326,321","326,493","327,362","328,041","328,366","329,105","330,416","332,042","333,439","334,738","335,605","337,749","338,990","339,384","340,214","341,250","343,490","345,033","346,568","347,505","351,425"
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire","1,531,948","1,541,768","1,549,065","1,558,620","1,571,435","1,584,841","1,598,500","1,616,960","1,636,217","1,655,030","1,670,388","1,682,844","1,696,885","1,712,354","1,729,454","1,747,053","1,768,296","1,792,595","1,820,587","1,848,618","1,871,477","1,887,784","1,894,087","1,908,039","1,929,126"
ITL3,TLF21,Leicester,"290,009","285,940","283,787","282,757","285,295","288,648","294,127","301,543","306,548","311,303","315,473","319,708","324,912","329,627","334,099","338,852","342,917","349,853","356,789","361,895","367,094","369,776","368,922","366,940","373,399"
ITL3,TLF22,Leicestershire CC and Rutland,"626,520","635,102","639,776","644,877","649,360","653,527","657,757","660,967","666,066","671,665","676,714","679,672","683,962","688,760","692,212","696,714","703,706","709,553","717,132","727,287","735,143","740,992","746,169","753,974","763,306"
ITL3,TLF24,West Northamptonshire,"340,110","342,215","343,409","345,893","349,123","351,689","353,110","357,438","362,435","365,907","368,454","371,268","373,456","376,008","380,827","385,699","391,024","397,939","405,019","411,732","417,242","422,168","422,559","426,707","429,013"
ITL3,TLF25,North Northamptonshire,"275,309","278,511","282,093","285,093","287,657","290,977","293,506","297,012","301,168","306,155","309,747","312,196","314,555","317,959","322,316","325,788","330,649","335,250","341,647","347,704","351,998","354,848","356,437","360,418","363,408"
ITL2,TLF3,Lincolnshire,"625,994","632,709","640,163","647,640","655,580","663,197","672,415","677,324","685,414","693,739","700,780","705,599","711,805","714,768","719,807","725,901","732,981","738,351","746,141","753,031","757,281","761,263","763,610","769,440","775,524"
ITL3,TLF30,Lincolnshire CC,"625,994","632,709","640,163","647,640","655,580","663,197","672,415","677,324","685,414","693,739","700,780","705,599","711,805","714,768","719,807","725,901","732,981","738,351","746,141","753,031","757,281","761,263","763,610","769,440","775,524"
ITL1,TLG,West Midlands,"5,271,352","5,271,959","5,269,626","5,280,727","5,301,243","5,325,475","5,346,376","5,380,687","5,415,521","5,451,924","5,496,240","5,528,007","5,565,866","5,608,667","5,640,325","5,676,945","5,716,882","5,756,287","5,812,248","5,855,052","5,889,328","5,920,977","5,931,924","5,956,226","6,021,653"
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire","1,205,431","1,208,941","1,214,415","1,223,311","1,230,423","1,237,975","1,243,330","1,251,572","1,261,862","1,272,346","1,281,965","1,286,794","1,291,111","1,296,730","1,304,603","1,311,796","1,321,709","1,329,714","1,340,812","1,351,030","1,359,892","1,368,778","1,374,958","1,391,539","1,405,539"
ITL3,TLG11,"Herefordshire, County of","171,014","171,997","173,612","174,885","175,258","175,648","176,033","176,587","178,103","179,930","181,791","182,367","182,865","183,619","184,208","184,748","185,523","185,778","186,225","186,687","186,511","186,373","185,886","187,522","188,719"
ITL3,TLG12,Worcestershire CC,"535,342","537,379","539,613","542,233","544,474","547,271","548,660","551,332","554,700","558,035","560,790","562,296","564,080","566,557","570,119","573,870","578,732","582,465","587,962","592,040","594,992","598,250","599,819","604,902","609,216"
ITL3,TLG13,Warwickshire CC,"499,075","499,565","501,190","506,193","510,691","515,056","518,637","523,653","529,059","534,381","539,384","542,131","544,166","546,554","550,276","553,178","557,454","561,471","566,625","572,303","578,389","584,155","589,253","599,115","607,604"
ITL2,TLG2,Shropshire and Staffordshire,"1,479,300","1,480,814","1,483,811","1,489,401","1,494,456","1,502,020","1,509,054","1,517,252","1,527,631","1,537,820","1,548,213","1,554,097","1,562,817","1,572,204","1,576,889","1,583,336","1,589,753","1,594,911","1,605,586","1,614,523","1,622,313","1,631,108","1,635,490","1,646,436","1,662,298"
ITL3,TLG21,Telford and Wrekin,"152,900","153,730","155,846","158,573","159,401","159,848","160,603","161,535","162,710","163,368","164,089","164,889","165,641","166,831","167,964","169,014","170,610","172,898","175,352","177,528","179,548","182,081","183,483","185,857","188,871"
ITL3,TLG22,Shropshire CC,"277,374","279,294","281,479","283,254","284,901","286,913","288,810","291,523","294,531","297,633","300,473","302,069","304,523","307,108","307,921","308,181","309,436","310,751","312,836","315,232","317,112","319,729","321,054","324,669","327,178"
ITL3,TLG23,Stoke-on-Trent,"245,298","244,130","241,989","240,422","239,955","240,031","241,078","241,481","243,069","243,697","245,509","245,869","247,381","248,719","250,322","251,568","253,316","254,095","256,168","258,235","258,843","259,181","258,866","258,102","259,965"
ITL3,TLG24,Staffordshire CC,"803,728","803,660","804,497","807,152","810,199","815,228","818,563","822,713","827,321","833,122","838,142","841,270","845,272","849,546","850,682","854,573","856,391","857,167","861,230","863,528","866,810","870,117","872,087","877,808","886,284"
ITL2,TLG3,West Midlands,"2,586,621","2,582,204","2,571,400","2,568,015","2,576,364","2,585,480","2,593,992","2,611,863","2,626,028","2,641,758","2,666,062","2,687,116","2,711,938","2,739,733","2,758,833","2,781,813","2,805,420","2,831,662","2,865,850","2,889,499","2,907,123","2,921,091","2,921,476","2,918,251","2,953,816"
ITL3,TLG31,Birmingham,"991,380","989,712","985,119","984,642","990,384","996,356","1,002,376","1,014,650","1,020,843","1,029,021","1,038,980","1,050,072","1,061,074","1,074,283","1,084,661","1,094,531","1,103,724","1,114,932","1,131,271","1,139,893","1,146,050","1,150,646","1,148,692","1,143,285","1,157,603"
ITL3,TLG32,Solihull,"200,736","200,190","199,013","199,574","200,028","200,536","201,153","201,557","202,351","203,170","204,778","205,470","206,329","206,856","207,729","209,115","211,205","211,697","213,061","214,330","214,901","216,323","216,432","216,677","217,678"
ITL3,TLG33,Coventry,"305,005","304,840","303,066","302,804","301,295","300,665","298,174","298,386","300,129","301,429","305,186","307,393","311,674","316,915","318,141","322,146","325,066","331,112","337,064","340,034","342,811","343,715","344,702","344,151","355,600"
ITL3,TLG36,Dudley,"304,812","304,878","304,664","305,052","305,645","305,585","306,171","307,004","307,846","308,686","310,377","311,088","312,206","313,261","313,631","314,460","315,700","316,393","317,669","319,539","320,989","322,090","322,513","323,591","324,969"
ITL3,TLG37,Sandwell,"287,133","286,085","285,102","284,594","285,637","287,135","288,849","290,447","292,516","294,603","298,358","302,303","306,181","309,042","312,710","317,499","321,610","325,911","330,051","333,826","336,977","340,198","341,436","341,895","344,210"
ITL3,TLG38,Walsall,"255,540","255,808","254,899","253,333","254,287","255,352","256,702","258,172","259,454","260,939","263,034","264,774","266,834","269,524","270,517","271,704","273,764","275,490","278,429","281,229","282,921","284,600","284,578","284,392","286,105"
ITL3,TLG39,Wolverhampton,"242,015","240,691","239,537","238,016","239,088","239,851","240,567","241,647","242,889","243,910","245,349","246,016","247,640","249,852","251,444","252,358","254,351","256,127","258,305","260,648","262,474","263,519","263,123","264,260","267,651"
ITL1,TLH,East,"5,302,028","5,338,722","5,374,972","5,400,463","5,432,688","5,474,133","5,508,564","5,562,653","5,606,294","5,653,534","5,708,350","5,751,443","5,807,402","5,862,418","5,915,033","5,970,484","6,039,521","6,098,262","6,161,075","6,202,843","6,237,376","6,274,179","6,297,779","6,349,646","6,398,497"
ITL2,TLH1,East Anglia,"2,145,720","2,157,898","2,173,999","2,180,674","2,195,752","2,221,056","2,242,707","2,271,598","2,290,800","2,310,870","2,332,678","2,349,739","2,373,563","2,396,328","2,414,927","2,433,130","2,455,952","2,478,696","2,501,310","2,521,840","2,535,585","2,545,960","2,551,550","2,579,028","2,600,668"
ITL3,TLH11,Peterborough,"155,877","156,520","156,616","157,439","158,794","160,778","163,485","167,220","169,887","172,443","176,027","178,963","181,762","184,457","188,675","192,488","195,766","200,246","205,091","208,237","211,037","213,026","213,718","216,470","217,705"
ITL3,TLH12,Cambridgeshire CC,"544,946","547,582","551,368","554,704","558,916","568,743","574,445","583,651","588,890","594,338","600,808","606,238","614,899","622,312","628,779","634,996","643,025","651,011","657,286","661,465","665,676","668,649","671,281","680,747","689,109"
ITL3,TLH14,Suffolk CC,"664,034","667,342","672,506","669,913","674,579","681,408","689,087","697,837","702,961","709,144","714,348","718,183","723,976","730,133","732,697","734,875","740,175","744,501","747,783","753,590","755,345","757,321","756,668","763,349","768,555"
ITL3,TLH15,Norwich and East Norfolk,"326,569","327,973","329,890","332,125","333,204","335,822","338,212","341,380","343,762","345,402","347,345","349,452","352,469","354,322","357,012","359,671","361,456","363,493","367,445","369,999","372,847","373,469","374,546","375,634","378,259"
ITL3,TLH16,North and West Norfolk,"231,252","231,403","233,183","234,060","235,554","237,393","238,995","240,597","242,697","244,612","246,438","246,984","247,914","249,600","250,383","251,132","252,754","253,836","255,043","256,384","255,974","255,841","255,087","258,159","258,968"
ITL3,TLH17,Breckland and South Norfolk,"223,042","227,078","230,436","232,433","234,705","236,912","238,483","240,913","242,603","244,931","247,712","249,919","252,543","255,504","257,381","259,968","262,776","265,609","268,662","272,165","274,706","277,654","280,250","284,669","288,072"
ITL2,TLH2,Bedfordshire and Hertfordshire,"1,569,592","1,583,397","1,593,458","1,603,531","1,611,904","1,619,584","1,622,681","1,634,684","1,647,211","1,662,606","1,680,717","1,697,185","1,716,219","1,736,949","1,757,277","1,780,402","1,803,992","1,826,031","1,849,798","1,858,958","1,868,416","1,881,839","1,893,635","1,907,304","1,920,528"
ITL3,TLH21,Luton,"184,264","184,990","185,491","185,889","185,631","185,016","183,563","185,392","187,312","189,742","192,084","195,449","199,583","203,641","205,873","209,624","213,749","217,612","220,952","220,752","221,532","223,106","224,132","224,958","226,973"
ITL3,TLH23,Hertfordshire CC,"1,016,401","1,024,006","1,029,817","1,035,523","1,040,387","1,045,337","1,047,366","1,055,483","1,063,202","1,072,954","1,085,434","1,096,599","1,107,641","1,119,824","1,131,536","1,143,681","1,156,321","1,167,308","1,180,234","1,185,014","1,188,182","1,193,394","1,198,052","1,200,899","1,204,588"
ITL3,TLH24,Bedford,"141,556","143,765","146,146","148,113","149,589","150,684","151,308","151,747","152,346","153,107","154,164","154,808","156,535","157,840","160,344","163,672","166,856","170,149","173,703","175,537","178,288","180,651","182,346","185,796","187,466"
ITL3,TLH25,Central Bedfordshire,"227,371","230,636","232,004","234,006","236,297","238,547","240,444","242,062","244,351","246,803","249,035","250,329","252,460","255,644","259,524","263,425","267,066","270,962","274,909","277,655","280,414","284,688","289,105","295,651","301,501"
